-3039.7503371361418,-3040.6132145188717,-3040.747532310699,-3044.455181281422,-3036.5997549530275,-3036.661556089112,-3033.8977925957083,-3041.042905354254,1.0,
-3040.950836745249,-3039.405986450282,-3041.7747292219005,-3041.8190721768347,-3035.0058679622966,-3034.411687417755,-3034.1683778244387,-3034.3105753267355,1.0,
-3039.9727498992447,-3040.8162063322425,-3039.6458076931503,-3041.338915343295,-3037.4551204143227,-3032.6031186230143,-3039.201667141215,-3041.3996811637417,1.0,
-3038.824474585038,-3040.3829198759067,-3038.5100700804114,-3039.984580592104,-3040.9956957337276,-3036.9366369520176,-3036.214203607459,-3036.8290500147077,1.0,
-3040.439062696634,-3038.157193377198,-3040.656270264163,-3041.892820435259,-3040.735635720033,-3035.0674396302848,-3036.7914548490103,-3040.3955757227786,1.0,
-3041.758415772947,-3041.332355869117,-3041.7343544543432,-3041.1787892654725,-3039.628880507353,-3028.650896711871,-3040.4153317662485,-3029.2689803834132,1.0,
-3039.1401049256133,-3039.3817239292543,-3040.4980048173375,-3040.356671543092,-3041.8925118092443,-3037.2314922911833,-3035.5617870700867,-3036.5201851611487,1.0,
-3037.778553756592,-3039.777575335447,-3039.766987419189,-3039.3133410841083,-3039.3729212463522,-3039.9917840735334,-3034.8612214703653,-3040.7248861630324,1.0,
-3039.448400224183,-3037.7917699862755,-3039.3089692247936,-3039.869645551572,-3040.2376358116444,-3040.2289441200974,-3038.678300595963,-3038.141824343473,1.0,
-3036.9412701378455,-3039.803296682001,-3040.232910225784,-3040.859866190411,-3040.5819225108103,-3039.141316993333,-3039.2402143754693,-3036.4146497469924,1.0,
-3041.430608999395,-3040.0524439207175,-3044.4081728212113,-3040.224667594315,-3039.361419166791,-3039.3656062337604,-3038.363138503622,-3041.8950956181147,1.0,
