-3049.276889826422,-3049.399814580776,-3050.259258161116,-3045.0855618821984,-2901.0688182206122,-2420.5128147865894,-1609.9741152452732,-762.2366985915106,1.0,
-3048.3761182099397,-3049.649645978784,-3047.9924575299588,-3049.03620932733,-2962.267728161635,-2559.210625116851,-1772.667756502198,-858.8288784832595,1.0,
-3050.03130432422,-3049.29468062277,-3049.2143856838197,-3055.44328181515,-3006.034677959945,-2687.3007348785204,-1944.720810380962,-976.4448545943317,1.0,
-3048.202168311806,-3049.177518299,-3048.9802074234767,-3056.1494965944803,-3032.3456896898365,-2802.27946218386,-2126.0645882769804,-1115.9817172867588,1.0,
-3050.8280007204585,-3050.1848814815316,-3050.455766795301,-3056.8108004466117,-3046.4338375290913,-2901.7991791509453,-2318.3230663700806,-1280.3603856321572,1.0,
-3049.692318579616,-3052.6546217600667,-3049.1931305522285,-3055.496651759814,-3053.0015293010933,-2975.4882639538546,-2508.5002541221384,-1466.5430256186476,1.0,
-3048.1993977471934,-3050.1369135085934,-3049.067747056583,-3055.5952372103466,-3056.357643907779,-3022.7741354985687,-2688.4742865942585,-1690.659701847177,1.0,
-3049.5411263274113,-3048.716170633462,-3047.201330778596,-3056.0043933856514,-3055.612846206288,-3046.042981130411,-2852.5373514050784,-1948.7707820729247,1.0,
-3048.3366311818763,-3048.7060363123765,-3048.15915866691,-3055.8395116180286,-3056.7192830615827,-3057.59897679356,-2975.1369900554787,-2259.651000067938,1.0,
-3046.689139413844,-3046.878434117238,-3049.241521712419,-3054.7113415758445,-3055.812959549612,-3056.740224728635,-3055.7356113606456,-2613.993430434362,1.0,
-3039.3366941331333,-3040.960082293686,-3039.169794958448,-3043.685235465247,-3043.949228833097,-3044.184894889366,-3043.2203557900966,-3038.8955910785157,1.0,
